UniProt_id	UniProt_entry
Q9Y5R5	DMRT2_HUMAN
P53779	MK10_HUMAN
Q9UQF2	JIP1_HUMAN
P30281	CCND3_HUMAN
Q9Y219	JAG2_HUMAN
Q6PI77	BHLH9_HUMAN
P01130	LDLR_HUMAN
P37173	TGFR2_HUMAN
Q15386	UBE3C_HUMAN
P62068	UBP46_HUMAN
P06493	CDK1_HUMAN
P51575	P2RX1_HUMAN
Q9HBK9	AS3MT_HUMAN
P60510	PP4C_HUMAN
Q16288	NTRK3_HUMAN
Q13316	DMP1_HUMAN
Q13009	TIAM1_HUMAN
Q9Y6N7	ROBO1_HUMAN
Q01974	ROR2_HUMAN
O14893	GEMI2_HUMAN
O60315	ZEB2_HUMAN
P13647	K2C5_HUMAN
P28907	CD38_HUMAN
P05412	JUN_HUMAN
P07204	TRBM_HUMAN
P35916	VGFR3_HUMAN
Q9NUU7	DD19A_HUMAN
P05549	AP2A_HUMAN
O75386	TULP3_HUMAN
Q5KU26	COL12_HUMAN
P06748	NPM_HUMAN
Q9NZI8	IF2B1_HUMAN
Q99958	FOXC2_HUMAN
Q12952	FOXL1_HUMAN
P41161	ETV5_HUMAN
O95905	ECD_HUMAN
Q7LC44	ARC_HUMAN
O75385	ULK1_HUMAN
Q99612	KLF6_HUMAN
Q02962	PAX2_HUMAN
P18075	BMP7_HUMAN
O43610	SPY3_HUMAN
Q8TDV0	GP151_HUMAN
Q9H4S2	GSX1_HUMAN
Q9BRR9	RHG09_HUMAN
Q96EL1	INKA1_HUMAN
O95863	SNAI1_HUMAN
O43623	SNAI2_HUMAN
P29474	NOS3_HUMAN
Q9NZH8	IL36G_HUMAN
O14770	MEIS2_HUMAN
Q401N2	ZACN_HUMAN
O75325	LRRN2_HUMAN
Q13133	NR1H3_HUMAN
Q9UF56	FXL17_HUMAN
Q8IVT2	MISP_HUMAN
P16260	GDC_HUMAN
P01100	FOS_HUMAN
P56705	WNT4_HUMAN
P51654	GPC3_HUMAN
P48436	SOX9_HUMAN
Q9H169	STMN4_HUMAN
P56199	ITA1_HUMAN
P49619	DGKG_HUMAN
Q02363	ID2_HUMAN
P50458	LHX2_HUMAN
O00570	SOX1_HUMAN
O43347	MSI1H_HUMAN
P28360	MSX1_HUMAN
Q5SQQ9	VAX1_HUMAN
P19838	NFKB1_HUMAN
Q5JRX3	PREP_HUMAN
Q6PHR2	ULK3_HUMAN
Q33E94	RFX4_HUMAN
Q7L5Y6	DET1_HUMAN
Q8N474	SFRP1_HUMAN
P56178	DLX5_HUMAN
P21781	FGF7_HUMAN
Q13557	KCC2D_HUMAN
P68104	EF1A1_HUMAN
O43924	PDE6D_HUMAN
P32243	OTX2_HUMAN
Q9ULE0	WWC3_HUMAN
P46937	YAP1_HUMAN
P40337	VHL_HUMAN
P16278	BGAL_HUMAN
P08631	HCK_HUMAN
Q92859	NEO1_HUMAN
P48742	LHX1_HUMAN
P51801	CLCKB_HUMAN
P31994	FCG2B_HUMAN
O43572	AKA10_HUMAN
Q96DR8	MUCL1_HUMAN
O00587	MFNG_HUMAN
Q92574	TSC1_HUMAN
P49840	GSK3A_HUMAN
P17516	AK1C4_HUMAN
